Price,Locality,Condition,Text,Transmission,Fuel
4400.0,Żabbar,Used - Fair,Car for Sale - Excellent Condition Peugeot 107 Urban  One Owner Km 75571 Call 79066157  Price Negotiable ,Manual,Unknown
1450.0,Marsaskala,Used - Fair,Car Interested people can contact due to the number 99078087 ,Manual,Unknown
5450.0,Marsa,Used - like new,"🚘 MERCEDES-BENZ VANEO (7-Seater – Wheelchair Ready) 🚘 🚘 MERCEDES-BENZ VANEO (7-Seater – Wheelchair Ready) 🚘  💥 IMMACULATE CONDITION   💥 MUST BE SEEN             ● 2003 ● 1689cc ● Automatic ● Diesel ● Estate- 7 SEATER ● Blue  ❎  Extras: Reverse Camera, Air Condition, ABS, Central Locking, Electric Mirrors, Electric Windows, Power Steering, Immobilizer, Radio, Fabric Seats & more.  🧼 FREE Car Wash by @Ta’ Maġġi Car Wash when purchasing your future car with us!  Price: € 5,450  📲Give us a call on 99470098 or 79888400 for more informa2 tion and viewing. ✅Part exchange accepted! ✅FINANCE AVAILABLE @50% deposit and the pending amount in UP TO 2 years. ✅Terms & Conditions apply.  See less",Automatic,Electric
23000.0,Birkirkara,Used - Fair,Ford puma 2020 Ford puma ST-Line 2020 Immaculate condition 27k Miles only❗️ Automatic 1.0-litre Ecoboost engine Just had a service  Monthly payments accepted PM for more info. See less,Automatic,Unknown
5950.0,San Ġiljan,Used - Fair,Smart Fortwo Passion 101k miles  diesel  very good engine would give close to 500k klms in very good running order 7949 9229 See less,Manual,Diesel
1600.0,Żebbuġ,Used - like new,"2003 PEGUEOT 206 xline5 14 hdi PEGUEOT 206 XLINE5 14 HDI ((( WITH PASS FROM VRT)))  ((U  MODI MINN VRT UKOLL ))))DIESEL TA MALTA WITH POWER STERING  , CENTRAL ELETRIC WINDOWS ONLY .)) PRICE 1,600 EURO   ))) MILEAGE =149,697 miles)      5 DOOR WITH 5 SEATER  WITH MANUAL GEARBOX  (((( ENGINE 14 HDI DIESEL)) ((EXTRAS ONLY WITH POWER STERING  , CENTRAL ELETRIC WINDOWS.ONLY )))   YEAR 2003 EVERTHING WORKS PERFECT  ((((((((((( 5 door with 5 SEATER ))))))))))  ghall bejgh IN DRIVING VERY PERFECT  WITH LICENSIE PAID TILL JANUARY  2023 WITH CHEAP LICENSIE =WITH OLD REGISTRATION LICENCES)) MESSAGE ONLY IF YOU VERY INTERESTED OF  PEGUEOT 206 14 HDI  MESSAGI NACCETA BISS JEKK VERA INTERSATI FUQ  PEGUEOT 206 14 HDI ((((((LICENSIE ONLY 214 EURO FIXED FOREVER ))))))) ((((((LICENSIE ONLY 214 EURO FIXED FOREVER ))))))) REGISTRADE IN MALTA 19-02-2004 IN  GOOD CONDITION FOR VIEWING PLS I SEND THE MESSAGE FACEBOOK AND I TAKE  ADDRESS ETC CONTACT 79335178,77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER MALTA  ((WITH TA MALTA  WITH CHEAP LICENSIE =WITH OLD REGISTRATION LICENCES))) WITH NO RUST  See less",Manual,Diesel
2500.0,Swieqi,Used - Fair,"Renault Megane Year 2007, In excellent condition Diesel, manual trasmission I'm selling it just because i'm leaving Malta See less",Manual,Diesel
3500.0,Żabbar,Used - Good,Toyota Vitz ( Tad Dema ) MANUAL 2004 Toyota vitz MANUAL Japan 🇯🇵 import  Used as an everyday car now selling it as bought a new car Same owner since bought   Fitted extras  Ac Electric windows Central lock Power steering  Full led front head lights Aftermarket kenwood bluetooth handsfree stereo  Also 3 spare keys available   Price is negotiable  Licensed till end of July 23  Call 99279418 See less,Manual,Electric
5500.0,Tarxien,Used - Fair,Toyota Celica Toyota Celica 190bhp Red leather interior Sunroof Low License ,Manual,Unknown
3600.0,Qormi,Used - Good,Chevrolet spark 2011 local car manual Chevrolet spark ta Malta manual in very good condition for more info call 77773019 part exchange accepted See less,Manual,Unknown
3000.0,Żebbuġ,Used - like new,"1998 DAIHASTU terios DAIHASTU TERIOS  WITH FULL EXTRAS  WITH MANUAL GEARBOX  WITH 1OWNER  WITH JAPAN IMPORT BUT   WITH OLD REGISTRATION LICCENSIE  ENGINE 13 PETROL  BIL LICENSIJA LANTIKA  ((WITH  AIR CONDITION  WORKS PERFECT  ))))   ((( for now pls call and message only on 79335178 name godwin to make appointment to see the car etc ))))) Car is in VERY  GOOD CONDITION  EVERTHING WORKS PERFECT  (((PRICE  3,000 EURO))) YEAR 1998 LICENSE ONLY 117 FIXED FOREVER   LICENSJA  WITH MANUAL GEARBOX MILEAGE 230,562 KM REGISTRADE IN MALTA IN 19-1-2007  FULL EXTRAS WITH AIR CONDITION ,WITH POWER STEERING  , ELETRIC WINDOWS , AND CENTRAL LOCK ONLY  call 79335178&77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER TO VIEW THE CAR PLS SEND FACEBOOK MSG OR PHONE 79335178 NAME GODWIN AND MEET See less",Manual,Petrol
3000.0,Sliema,Used - Fair,Opel Tigra - Cabriolet + Read Leather - Manual Selling my Opel Tigra - 2009.  93 000 km - 1.4 Petrol - Manual License is paid until November 2023  Drives very well and everything works. The exterior is not perfect but  it a great car for that price. Amazing for summer 👌  Come to see in Sliema until Wednesday then I fly to Canada for three weeks. See less,Manual,Petrol
2250.0,Gżira,Used - Good,Citroen C3 Hello for everyone  I can send video from inside as well These are my proper maintenance everything is writing as you see the car is in so good condition please unless no need different information don’t contact thank you   Damage in bonnet(but i have spare)  17 May  Oil Oil filter Ac filter Air filter  24 June Clutch and brake pads changed  20 July Timing belt and kit Thermos and sensor changed  Antifreeze  Head gasket changed   1 September  Oil Oil filter   30 January 2023 Oil and oil filter Air filter AC filter Break pads  14 March Front Both Tyres changed  27 march Antifreeze changed  Oil and oil filter Maintenance general   129000km 2009 model Till july paid licence 500 Vrt till 2024 july paid Manual  -AIRCONDITION in perfect condition… -POWER STEERING… -REMOTE CENTRAL LOCKING... -ELECTRIC WINDOWS… -SPARE KEY… -Radio and USB See less,Manual,Electric
3000.0,Fgura,Used - Good,"2004 Toyota vitz Toyota Vitz 2004,  1 owner, 3-door,  Manual, low mileage,  Very good condition,  Rarely used,  Licensed in 2012.  Call 79869594.  See less",Manual,Unknown
3400.0,Mosta,Used - like new,Toyota Vitz 2002 Licenzja 117e Automatic  For more info call 77223765 ,Automatic,Unknown
2000.0,Mosta,Used - Fair,Ford Fiesta for sale Ford Fiesta  Diesel 16tdci Milage 160k 2door Full extras   Lic and VRT due Jan 2024. Might consider part exchange and will also consider lower offers Call on 99209607 See less,Manual,Diesel
2100.0,Żurrieq,Used - Fair,2005 1.4 Diesel Ta Malta peugeot 307 Cheap License (Euro 176 Max) Paid till June 2023 Central Lock  Air-condition  Bargain Price to sell  Call only on 77521521   See less,Manual,Diesel
1500.0,Żebbuġ,Used - like new,"1992 Nissan sunny NISSAN SUNNY BIL POWER STERING WITH POWER STERING TA MALTA PRICE 1,500 EURO ))) WITH LICENSIE PAID TILL MAY 2023 5 DOOR WITH MANUAL GEARBOX (((( ENGINE 14 PETROL)) (( EXTRAS WITH POWER STERING , ELETRIC WINDOWS , CENTRAL LOCK ONLY ))) BUT WITH NO AIR CONDITION AND YEAR 1992 MILEAGE=( 117,135 miles) EVERTHING WORKS PERFECT ghall bejgh WITH OLD REGISTRATION LICCENSIE ((((((LICENSIE ONLY 156 EURO FIXED FOREVER ))))))) ((((((LICENSIE ONLY 156 EURO FIXED FOREVER ))))))) REGISTRADE IN MALTA 11-12-1992 WITH TA MALTA IN VERY GOOD CONDITION FOR VIEWING PLS I SEND THE MESSAGE FACEBOOK AND I TAKE ADDRESS ETC CONTACT 79335178,77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER MALTA  See less",Manual,Petrol
3400.0,Birkirkara,Used - Fair,"Toyota Vitz Automatic Toyota Vitz Automatic with /A/c, electric windows, double airbag, ABS ,stereo ecc ideal for beginners cheap license e117 only part exchange with bigger automatic like rav4 , spacio , accepted good condition for age only 180k kms, not new have some dents and scratches no time wasters plsss See less",Automatic,Unknown
2900.0,Swieqi,Used - like new,"2005 Toyota passo Toyota Passo 2005 Japan Import. Registered in Malta. Location: St. Julians  ✅ Petrol engine 1.0 economical, cheapest license all paid till October. ✅ 173,100 km ✅ Automatic transmission works perfectly  ✅ Air condition  ✅ Full extras ✅ Factory tinted rear windows (not some cheap foil) ✅ JVC Bluetooth media + speaker phone ✅ Sport seat covers - minor exterior bump - minor rust buble on the exterior   📲 9974 3907 (WhatsApp available) See less",Automatic,Petrol
1700.0,Żabbar,Used - Fair,Ford Focus hatchback Diesel Ford Focus ta' Malta 2003. One owner. Low Road Licence. Diesel. Price negotiable pm or call on 79992607. See less,Manual,Diesel
3999.0,Żurrieq,Used - Fair,Chevrolet spark 37000km 1 owner Chevrolet spark  Only 37000km !! Ta malta  2014  12 petrol  License till May cheap  Just service Today  Only 1 owner See less,Manual,Petrol
4800.0,Santa Venera,Used - Good,toyota passo 2011 Auto toyota passo 2011 automatic transmission  good condition full extras ‼️ Part exchange welcome ✅  ,Automatic,Unknown
2100.0,Għargħur,Used - Good,Smart Car Call 99452596 Call on this number (99452596) ,Manual,Unknown
3000.0,Żebbuġ,Used - like new,"2002 Ford focus FORD FOCUS  BIL 1 OWNER WITH 1 OWNER  WITH TDDI ENDURA FORD 18 DIESEL ORIGINAL ENGINE FROM FACTORY  TA MALTA WITH MANUAL GEARBOX WITH FULL SERVICE DONE 13-4-2022  PLUS  WITH BRAND NEW KIT CLAUCH AND MANY MORE WITH CHEAP LICENSIE =WITH OLD REGISTRATION LICENCES)) MESSAGE ONLY IF YOU VERY INTERESTED OF FORD FOCUS. MESSAGI NACCETA BISS JEKK VERA INTERSATI FUQ IL FORD FOCUS. WITH MILEAGE((181,667 KM))  (((PRICE 3,000 EURO))) BODY, INTERIOR ,IN DRIVING VERY PERFECT  EVERTHING WORKS PERFECT START AND DRIVE ((((((((((( 5 door with 5 SEATER )))))))))) ENGINE 18 DIESEL ghall bejgh ((((((((YEAR 2002))))))) MANUAL GEARBOX ((FULL EXTRAS ,AIR CONDITION ,POWER STEERING,ELECTRIC WINDOWS, CENTRALOCK ))) ((((((LICENSIE ONLY 250 EURO FIXED FOREVER ))))))) ((((((LICENSIE ONLY 250 EURO FIXED FOREVER ))))))) REGISTRADE IN MALTA 23-10-2002 IN VERY MINT CONDITION FOR VIEWING PLS I SEND THE MESSAGE FACEBOOK AND I TAKE  ADDRESS ETC CONTACT 79335178,77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER MALTA  ((WITH TA MALTA  WITH CHEAP LICENSIE =WITH OLD REGISTRATION LICENCES))) WITH NO RUST  See less",Manual,Electric
6000.0,Marsa,Used - Fair,"2012 Suzuki For SALE, price is negotiable. Message for more information and viewing. ",Manual,Unknown
1000.0,San Pawl il-Baħar,Used - Fair,"Kia Ceed (1000e Deposit) Kia Ceed Engine petrol, manual Full extras with AC  Deposit 1000euro and monthly payments accepted  Bugibba, 7759-8480 See less",Manual,Petrol
2400.0,Naxxar,Used - Good,"2007 Honda civic. Priced to sell 2007 Honda civic with 22 diesel engine, manual gearbox. License is 370 and need to be paid. Car in good condition and ready for use. See less",Manual,Diesel
2500.0,Żebbuġ,Used - like new,"1993 Hyundai excel HYUNDAI EXCEL WITH 1 OWNER AND  VERY MINT CONDITION                                      WITH GENIUNE MILEAGE = 32,307KM ))))  PRICE 2,500 EURO   ))) 5 DOOR WITH MANUAL GEARBOX (((( ENGINE 13 PETROL) ((WITH NO EXTRAS = MEAN WITH NO  AIR CONDITION  AND WITH NO POWER STERING ,  )))  YEAR 1993 EVERTHING WORKS PERFECT   ghall bejgh PREVIOUSLY OWNER VERY CAREFULLY  ((((((LICENSIE ONLY 117 EURO FIXED FOREVER ))))))) ((((((LICENSIE ONLY 117 EURO FIXED FOREVER ))))))) REGISTRADE IN MALTA 11-3-1993  WITH TA MALTA IN VERY GOOD CONDITION FOR VIEWING PLS I SEND THE MESSAGE FACEBOOK AND I TAKE  ADDRESS ETC CONTACT 79335178,77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER MALTA See less",Manual,Petrol
2800.0,Żejtun,Used - Fair,Toyota windy auto tan99. Vrt kull sentejn Ta gewwa kannela mil fabrika fija kollox jahdem. Part exchange accepted mob.79028002 ,Manual,Unknown
5900.0,Ħamrun,Used - Fair,Smart 451 limited edition Smart 451 limited edition In immaculate condition. Recently serviced Always garaged ,Manual,Unknown
1500.0,Birgu,Used - Fair,1996 Hyundai accent 13 engine Neon Blue inside Manual License ends January 2024. ,Manual,Unknown
3800.0,Qormi,Used - Fair,Toyota auris 2007 Manual ✅ Licence paid✅ Ac✅❄️ Mint condition✅ Partexchange accepted✅ 79029933 ,Manual,Unknown
1600.0,Attard,Used - Fair,Fiat Punto 2002 Car has 2 previous owners and has coil overs. Body in excellent condition. Very good for beginners. ,Manual,Unknown
2700.0,Swieqi,Used - Good,"2003 Citroen C3 (local) ta' malta Good Condition 🔝 License €100💷  ✔️Price €2700 ✔️Hire Purchase Yes ✔️YOM 2003 ✔️Manual ✔️Petrol  Extras: ✔️Air Conditioning ✔️Power Steering ✔️Electric Windows and more…  Not to be missed 👌  Available at Alan Motors, Zebbug road Attard.  Contact 77333322 or 20994723  https://www.facebook.com/alanmotorsmalta  http://alanmotors.com.mt/ See less",Manual,Electric
3990.0,Birkirkara,Used - Good,Vauxhall Opel Astra (convertible) 2008 model full extras 1900ctdi diesel engine manual transmission.. Convertible with twin top hard top roof..  Deposit and monthly payments directly with us accepted/ foreigners welcome   Sonic Auto Dealer b’kara:99440022 See less,Manual,Diesel
2600.0,Żebbuġ,Used - like new,"1999 Toyota starlet TOYOTA STARLET WITH AUTOMATIC  GEARBOX (((( ENGINE 15 DIESEL))  WITH AIR CONDITION AND WITH POWER STERING     PRICE 2,600 EURO   ))) ((((((LICENSIE ONLY 214 EURO FIXED FOREVER ))))))) 5 DOOR ((EXTRAS WITH  AIR CONDITION  AND WITH POWER STERING , ONLY )))  WITH JAPAN IMPORT YEAR 1999 EVERTHING WORKS PERFECT  ((((((((((( 5 door with 4 SEATER ))))))))))  ghall bejgh  MILEAGE((203,154 KM)) REGISTRADE IN MALTA IN 30-8-2002 IN VERY GOOD CONDITION FOR VIEWING PLS I SEND THE MESSAGE FACEBOOK AND I TAKE  ADDRESS ETC CONTACT 79335178,77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER MALTA. See less",Automatic,Diesel
4750.0,Paola,Used - Fair,"Toyota Vitz 2006 Auto Ac Power windows  power steering  Petrol 1,0 108 km  Contact 99230193 or visit our showroom at wbautomotivemalta poala  See less",Manual,Petrol
1600.0,Żebbuġ,Used - like new,"1990 Toyota corolla  TOYOTA COROLLA TA MALTA  WITH LICENSIE PAID TILL OCTOBER 2023  ((( PRICE 1,600 EURO)) 5 DOOR WITH MANUAL GEARBOX (((( ENGINE 13 PETROL)) ((WITH NO EXTRAS = MEAN WITH NO AIR CONDITION AND WITH NO POWER STERING , ))) YEAR 1990 EVERTHING WORKS PERFECT   MILEAGE=298,019KM  ghall bejgh WITH OLD REGISTRATION LICCENSIE ((((((LICENSIE ONLY 117 EURO FIXED FOREVER ))))))) ((((((LICENSIE ONLY 117 EURO FIXED FOREVER ))))))) REGISTRADE IN MALTA 26-06-1990 WITH TA MALTA IN VERY GOOD CONDITION FOR VIEWING PLS I SEND THE MESSAGE FACEBOOK AND I TAKE ADDRESS ETC CONTACT 79335178,77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER MALTA See less",Manual,Petrol
2200.0,Lija,Used - Fair,Opel astra cabrio Ta malta  Manual transmission  Model 2003 64000miles  Full extras electric roof Mob 79537672 ,Manual,Electric
1200.0,Msida,Used - Good,"Fiat Stillo Year 2006 Ready to drive, license paid till march 2024 Motor 1.4 petrol ",Manual,Petrol
4500.0,Qormi,Used - Good,Hyundai i20 ta Malta 2011 Hyundai i20 manual ta Malta 2011 in very good condition inside out for more info call 77773019 / 79511201 See less,Manual,Unknown
3850.0,Fgura,Used - Good,Toyota vitz toyota vitz year 2000 engine 10 petrol automatic cheap licence full extras very good condition ,Automatic,Petrol
3600.0,Qormi,Used - like new,"Mercedes E220cdi Auto Ta Malta Mercedes E class auto matic ta malta - calls on 79347448  - full extras (leather seats, auto lights+ wipers etc) - everything functional  - very solid in the road  - just 150kms  - 19 inch AMG alloys  - license €580 paid  - engine gearbox suspension etc very good  See less",Manual,Unknown
4700.0,Żabbar,Used - Good,"Honda Fit - Japan Import - Full Extras - Automatic - Very Good Condition☎️99443858☎️ Make & Model: Honda Fit  Import: Japan Import   Year: 2009  Mileage: 190 000 KM  Engine: 13 Petrol Owners: 1 Owner   Transmission: Automatic   Extras: Full Extras ( A/C, Power Steering, Central Lock, Electric Windows )  Doors: 5 Doors  Licence: Paid till July 2023 ( €339 MAX ) Condition: Very Good Condition   💸 Price: €4700 or nearest Offer 💸   🚨 Cash Buyers Only 🚨   ✅P/E Accepted✅   ☎️99443858☎️  See less",Automatic,Petrol
1700.0,Marsa,Used - Good,Renault Megan 2008 . diesel 15 manual good condition full extra Renault Megan diesel 15  ta malta full extra 2008 ,Manual,Diesel
3600.0,Qormi,Used - Good,Chevrolet spark 2011 local car manual Chevrolet spark ta Malta manual in very good condition for more info call 77773019 / 79511201 part exchange accepted See less,Manual,Unknown
2200.0,Lija,Used - Fair,Opel cabrio ta malta Oneowner 64000miles  Model 2003 Manual  Call 📞  only 79537672 ,Manual,Unknown
2300.0,Paola,Used - Fair,Citroen c3 pluriel ta malta auto Citroen c3 pluriel cabrio 1.6 petrol 2003 tiptronic gearbox full extras the one in photo call 79054635 price 2300 euro See less,Manual,Petrol
2850.0,Iklin,Used - Fair,Daihstdu sirion only 70k Daihatsu Sirion  ONLY 70K Fullextras Aircondion One previouse owner 2keys remote central lock Vrt2024 Manual transmision Call 79981572 See less,Manual,Unknown
5980.0,Birkirkara,Used - Good,Toyota Vitz 1300cc (auto) Full extras 2008 model 87k miles 1300cc Petrol engine Automatic transmission  Top condition inside and outside.  Deposit and monthly payments directly with us accepted/ foreigners welcome!!  Sonic Auto Dealer b’kara:99440022 See less,Automatic,Petrol
5800.0,Santa Venera,Used - Fair,"2009 HONDA CIVIC TYPE S 2.2 CDTI DIESEL Mint Car with panoramic roof and cheap license ! 2009 HONDA CIVIC TYPE S 2.2 CDTI DIESEL   FULL SPEC INC: Panoramic Roof Push Start  Dual Climate Control Auto lights/Wipers Electric Windows/Mirrors Alcantara Interior Factory Bodykit Factory Alloy Wheels Multi-Functioning Steering Etc..  100k Miles !  MUST BE SEEN TOP CONDITION   Cheap License And Paid Till January 2024  5,800 Euro P/E Considered  Kindly Call On 99193706/99257610  Or  Visit Our Showroom  LF Motors Triq Il Markiz John Scicluna Santa Venera    See less",Manual,Electric
7480.0,Birkirkara,Used - like new,Toyota Vitz 1300cc Auto Toyota vitz  2012 model Full extras  39k miles 1300cc Petrol engine  Automatic transmission  Ready fully serviced   Deposit and monthly payments directly with us accepted/ foreigners welcome!!!  Sonic Auto Dealer b’kara: 99440022 See less,Automatic,Petrol
6000.0,Valletta,Used - like new,Golf TDI Diesel Year 2005 Perfect conditions ,Manual,Diesel
9000.0,Lija,Used - Good,Nissan Leaf 2014 Nissan Leaf 2014 10bar in very good condition Japan import 46000km Mob: 79805502 ,Manual,Unknown
18000.0,Sliema,Used - like new,2019 Honda civic Engine: Engine 1.5 I-Vtec Configuration: Turbo Petrol Transmission: Automatic DSG Power: 180bhp Economy: 38.4mpg Emissions: 133g/km COz Road Tax: €140 max €370 Mileage: 74k KM  Reason for selling as purchased a new car.  Telescopic Steering Adjust • Leather Steering Wheel • 7* Touch Screen Honda Connect NAVI/Apple car play and android auto • 6 Speed Gearbox • Height Adjustable Driver Seat • Power Steering • Duel Zone Climate control AC • USB X2 HDMI X1 Internet browsing • ABS Safety Brake With Traction control •Cruise Control and Speed Limiter • keyless Central Locking with Alarm • Power Folding Electric Mirrors • 17* Alloys • Front Fog Lights • Front & Rear Power Windows • 6 Airbags • DAB Radio MP3 - 11 Speakers • Navi including Malta Maps • Auto Sensor Lights • Rain Sensor Wipers • Steering Audio Controls • Hill Assist • Bluetooth Hands Free Telephone • Road Departure Mitigation System • Rear Camera • Global Closing • Front and Rear Parking Sensors Byear • Privacy Glass • EBD/EBA Safety Systems NCAP • LED Day Time Running Lights LED lights WARRANTY • Electronic parking Brake with Brake Hold • Auto Dimming Rear View Mirror • Glass roof Opening  Bought from Gasan NEW. See less,Automatic,Electric
10200.0,Swieqi,Used - Fair,"2015 Vauxhall / Opel adam rocks Easy to park, fun to drive and looking for a new home!  ⭐️ 34,000 miles / 55,000 km ⭐️ 2015 ⭐️ 1.4L engine ⭐️ Manual transmission  ⭐️ Blue / black two tone - very rare combination  ⭐️ Special Vauxhall Adam Rocks model with leather bucket seats, 18 inch wheels + sports rims ⭐️ Rear parking sensors ⭐️ Digital Bluetooth screen and music system ⭐️ 3-door ⭐️ Back seats fold down for more spacious boot  License paid until Feb 2024. Direct from owner, offers accepted. See less",Manual,Unknown
2700.0,San Ġwann,Used - Good,"Mini Cooper S Very good condition Full extras including ac,electric windows,central lock,electric mirrors etc.. 1.6 Supercharged Petrol Manual 115,000 Miles Half leather Harmon kardon sound system  Price negotiable Part exchange accepted License €762 Maximum Call 79071902 for more info!! See less",Manual,Electric
4800.0,Mosta,Used - Good,"2011 Alfa Romeo mito Diesel 1.3 jetpack Uk import  Good working condition.  Red colour.  117000km AC  Bluetooth Bucket seats    Car location Mosta.   Car used and some parts may need to be changed, but fair price for condition of the car.   License €250 See less",Manual,Diesel
6400.0,Fgura,Used - Fair,"2008 SEAT ibiza Seat Ibiza Mk IV 6j 2008 1.4 petrol (85bhp) Ta' Malta  Locally bought in 2009 from Continental cars. 1 previous owner from new. Excellent condition, as expected for 52,000km.  (33,000 miles)  No expenses spared, recently fully serviced. Car is in showroom condition inside out.  Very economical, reliable and cheap to run.  Extras include power steering, air condition/ climate control, remote central lock, electric windows, cruise control and much more.  •Serviced 14/4/23 •Bridgestone Turanza all round. Fronts replaced 4/3/23 See less",Manual,Electric
4500.0,San Ġiljan,Used - Good,"Opel Corsa 2010  1.2 Petrol  Automatic/ manual transmission  Sunroof  74,000km ",Automatic,Petrol
8200.0,Birkirkara,Used - Fair,"Golf auto 2012 Golf gt black full extra 114k miles executive all leather trim with display Bluetooth etc.  Selling as need 7 seater as this is an excellent car throughout bought just 8 months ago with paper proof.  Automatic DSG with option to drive manual too, with up and down shifts.  Serviced and timing belt changed, tyres quite new.  Price indicated or nearest offer. See less",Automatic,Unknown
1800.0,Gżira,Used - Fair,2005 Convertible renault megane petrol 1.6 4 new tyres Full service done. Licence till April 2024 ,Manual,Petrol
5000.0,Santa Venera,Used - Good,Ford fiesta Full extras Petrol  engine  Manual  Very  good condition  99477136 ,Manual,Petrol
5000.0,Fgura,Used - Fair,Ford fiesta YEAR OF MANUFACTURE : 2008 IMPORTED : LOCAL OWNERS : 3 KEYS : 1 ENGINE CAPACITY : 1246 PETROL MANUAL AIR CONDITION POWER STEERING CENTRAL LOCKING  ELECTRIC WINDOWS ELECTRIC MIRRORS 17” ALLOYS  USB STEREO See less,Manual,Electric
2900.0,Sliema,Used - Fair,"2001 Alfa Romeo gtv - price reduced!!!! Price Reduced!!!  Great performance, fun to drive, but a reliable everyday car. It has a very sleek body style, with classic Italian leather seats.  - 2.0L Twin Spark Engine - 145HP - 5 speed manual gear box - Power Windows - Air-Conditioning - Stereo with Bluetooth connectivity - Service has been carried recently - License till 31-06-2023 (UK Import)  A lot of Car for the Money!  Or call on [hidden information] See less",Manual,Unknown
3500.0,Sliema,Used - Good,Freelander Car / engine in good conditions   I also have another freelander and a Maruti off-road for selling. ,Manual,Unknown
