Title,Price,Locality,Description,Condition
1990 Toyota corolla,1600.0,Żebbuġ," TOYOTA COROLLA TA MALTA  WITH LICENSIE PAID TILL OCTOBER 2023  ((( PRICE 1,600 EURO)) 5 DOOR WITH MANUAL GEARBOX (((( ENGINE 13 PETROL)) ((WITH NO EXTRAS = MEAN WITH NO AIR CONDITION AND WITH NO POWER STERING , ))) YEAR 1990 EVERTHING WORKS PERFECT   MILEAGE=298,019KM  ghall bejgh WITH OLD REGISTRATION LICCENSIE ((((((LICENSIE ONLY 117 EURO FIXED FOREVER ))))))) ((((((LICENSIE ONLY 117 EURO FIXED FOREVER ))))))) REGISTRADE IN MALTA 26-06-1990 WITH TA MALTA IN VERY GOOD CONDITION FOR VIEWING PLS I SEND THE MESSAGE FACEBOOK AND I TAKE ADDRESS ETC CONTACT 79335178,77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER MALTA See less",
Opel astra cabrio,2200.0,Lija,Ta malta  Manual transmission  Model 2003 64000miles  Full extras electric roof Mob 79537672 ,
Fiat Stillo Year 2006,1200.0,Msida,"Ready to drive, license paid till march 2024 Motor 1.4 petrol ",Used - Good
Hyundai i20 ta Malta 2011,4500.0,Qormi,Hyundai i20 manual ta Malta 2011 in very good condition inside out for more info call 77773019 / 79511201 See less,
Toyota vitz,3850.0,Fgura,toyota vitz year 2000 engine 10 petrol automatic cheap licence full extras very good condition ,
Mercedes E220cdi Auto Ta Malta,3600.0,Qormi,"Mercedes E class auto matic ta malta - calls on 79347448  - full extras (leather seats, auto lights+ wipers etc) - everything functional  - very solid in the road  - just 150kms  - 19 inch AMG alloys  - license €580 paid  - engine gearbox suspension etc very good  See less",Used - like new
Honda Fit - Japan Import - Full Extras - Automatic - Very Good Condition☎️99443858☎️,4700.0,Żabbar,"Make & Model: Honda Fit  Import: Japan Import   Year: 2009  Mileage: 190 000 KM  Engine: 13 Petrol Owners: 1 Owner   Transmission: Automatic   Extras: Full Extras ( A/C, Power Steering, Central Lock, Electric Windows )  Doors: 5 Doors  Licence: Paid till July 2023 ( €339 MAX ) Condition: Very Good Condition   💸 Price: €4700 or nearest Offer 💸   🚨 Cash Buyers Only 🚨   ✅P/E Accepted✅   ☎️99443858☎️  See less",Used - Good
Renault Megan 2008 . diesel 15 manual good condition full extra,1700.0,Marsa,Renault Megan diesel 15  ta malta full extra 2008 ,
Chevrolet spark 2011 local car manual,3600.0,Qormi,Chevrolet spark ta Malta manual in very good condition for more info call 77773019 / 79511201 part exchange accepted See less,
Opel cabrio ta malta,2200.0,Lija,Oneowner 64000miles  Model 2003 Manual  Call 📞  only 79537672 ,
Citroen c3 pluriel ta malta auto,2300.0,Paola,Citroen c3 pluriel cabrio 1.6 petrol 2003 tiptronic gearbox full extras the one in photo call 79054635 price 2300 euro See less,
Daihstdu sirion only 70k,2850.0,Iklin,Daihatsu Sirion  ONLY 70K Fullextras Aircondion One previouse owner 2keys remote central lock Vrt2024 Manual transmision Call 79981572 See less,
Toyota Vitz 1300cc (auto),5980.0,Birkirkara,Full extras 2008 model 87k miles 1300cc Petrol engine Automatic transmission  Top condition inside and outside.  Deposit and monthly payments directly with us accepted/ foreigners welcome!!  Sonic Auto Dealer b’kara:99440022 See less,Used - Good
2009 HONDA CIVIC TYPE S 2.2 CDTI DIESEL Mint Car with panoramic roof and cheap license !,5800.0,Santa Venera,"2009 HONDA CIVIC TYPE S 2.2 CDTI DIESEL   FULL SPEC INC: Panoramic Roof Push Start  Dual Climate Control Auto lights/Wipers Electric Windows/Mirrors Alcantara Interior Factory Bodykit Factory Alloy Wheels Multi-Functioning Steering Etc..  100k Miles !  MUST BE SEEN TOP CONDITION   Cheap License And Paid Till January 2024  5,800 Euro P/E Considered  Kindly Call On 99193706/99257610  Or  Visit Our Showroom  LF Motors Triq Il Markiz John Scicluna Santa Venera    See less",
Japan cars🇯🇵PAOLA CAR CENTRE Call 79901593 79901587,7990159.0,Paola,Just arrived🇯🇵Japan cars🇯🇵             💥 PAOLA CAR CENTRE 💥  ✅  Japan Cars under 20 k miles🔝🔝 ✅  Part exchange and monthly payments accepted . 📞      79901593       79901587 See less,
Toyota Vitz 1300cc Auto,7480.0,Birkirkara,Toyota vitz  2012 model Full extras  39k miles 1300cc Petrol engine  Automatic transmission  Ready fully serviced   Deposit and monthly payments directly with us accepted/ foreigners welcome!!!  Sonic Auto Dealer b’kara: 99440022 See less,Used - like new
Golf TDI Diesel Year 2005,6000.0,Valletta,Perfect conditions ,Used - like new
Nissan Leaf 2014,9000.0,Lija,Nissan Leaf 2014 10bar in very good condition Japan import 46000km Mob: 79805502 ,
2019 Honda civic,18000.0,Sliema,Engine: Engine 1.5 I-Vtec Configuration: Turbo Petrol Transmission: Automatic DSG Power: 180bhp Economy: 38.4mpg Emissions: 133g/km COz Road Tax: €140 max €370 Mileage: 74k KM  Reason for selling as purchased a new car.  Telescopic Steering Adjust • Leather Steering Wheel • 7* Touch Screen Honda Connect NAVI/Apple car play and android auto • 6 Speed Gearbox • Height Adjustable Driver Seat • Power Steering • Duel Zone Climate control AC • USB X2 HDMI X1 Internet browsing • ABS Safety Brake With Traction control •Cruise Control and Speed Limiter • keyless Central Locking with Alarm • Power Folding Electric Mirrors • 17* Alloys • Front Fog Lights • Front & Rear Power Windows • 6 Airbags • DAB Radio MP3 - 11 Speakers • Navi including Malta Maps • Auto Sensor Lights • Rain Sensor Wipers • Steering Audio Controls • Hill Assist • Bluetooth Hands Free Telephone • Road Departure Mitigation System • Rear Camera • Global Closing • Front and Rear Parking Sensors Byear • Privacy Glass • EBD/EBA Safety Systems NCAP • LED Day Time Running Lights LED lights WARRANTY • Electronic parking Brake with Brake Hold • Auto Dimming Rear View Mirror • Glass roof Opening  Bought from Gasan NEW. See less,Used - like new
2015 Vauxhall / Opel adam rocks,10200.0,Swieqi,"Easy to park, fun to drive and looking for a new home!  ⭐️ 34,000 miles / 55,000 km ⭐️ 2015 ⭐️ 1.4L engine ⭐️ Manual transmission  ⭐️ Blue / black two tone - very rare combination  ⭐️ Special Vauxhall Adam Rocks model with leather bucket seats, 18 inch wheels + sports rims ⭐️ Rear parking sensors ⭐️ Digital Bluetooth screen and music system ⭐️ 3-door ⭐️ Back seats fold down for more spacious boot  License paid until Feb 2024. Direct from owner, offers accepted. See less",
Mini Cooper S,2700.0,San Ġwann,"Very good condition Full extras including ac,electric windows,central lock,electric mirrors etc.. 1.6 Supercharged Petrol Manual 115,000 Miles Half leather Harmon kardon sound system  Price negotiable Part exchange accepted License €762 Maximum Call 79071902 for more info!! See less",Used - Good
2011 Alfa Romeo mito,4800.0,Mosta,"Diesel 1.3 jetpack Uk import  Good working condition.  Red colour.  117000km AC  Bluetooth Bucket seats    Car location Mosta.   Car used and some parts may need to be changed, but fair price for condition of the car.   License €250 See less",Used - Good
2008 SEAT ibiza,6400.0,Fgura,"Seat Ibiza Mk IV 6j 2008 1.4 petrol (85bhp) Ta' Malta  Locally bought in 2009 from Continental cars. 1 previous owner from new. Excellent condition, as expected for 52,000km.  (33,000 miles)  No expenses spared, recently fully serviced. Car is in showroom condition inside out.  Very economical, reliable and cheap to run.  Extras include power steering, air condition/ climate control, remote central lock, electric windows, cruise control and much more.  •Serviced 14/4/23 •Bridgestone Turanza all round. Fronts replaced 4/3/23 See less",
Opel Corsa,4500.0,San Ġiljan,"2010  1.2 Petrol  Automatic/ manual transmission  Sunroof  74,000km ",Used - Good
Golf auto 2012,8200.0,Birkirkara,"Golf gt black full extra 114k miles executive all leather trim with display Bluetooth etc.  Selling as need 7 seater as this is an excellent car throughout bought just 8 months ago with paper proof.  Automatic DSG with option to drive manual too, with up and down shifts.  Serviced and timing belt changed, tyres quite new.  Price indicated or nearest offer. See less",
2005 Convertible renault megane petrol 1.6,1800.0,Gżira,4 new tyres Full service done. Licence till April 2024 ,
Ford fiesta,5000.0,Santa Venera,Full extras Petrol  engine  Manual  Very  good condition  99477136 ,
Ford fiesta,5000.0,Fgura,YEAR OF MANUFACTURE : 2008 IMPORTED : LOCAL OWNERS : 3 KEYS : 1 ENGINE CAPACITY : 1246 PETROL MANUAL AIR CONDITION POWER STEERING CENTRAL LOCKING  ELECTRIC WINDOWS ELECTRIC MIRRORS 17” ALLOYS  USB STEREO See less,
2001 Alfa Romeo gtv - price reduced!!!!,2900.0,Sliema,"Price Reduced!!!  Great performance, fun to drive, but a reliable everyday car. It has a very sleek body style, with classic Italian leather seats.  - 2.0L Twin Spark Engine - 145HP - 5 speed manual gear box - Power Windows - Air-Conditioning - Stereo with Bluetooth connectivity - Service has been carried recently - License till 31-06-2023 (UK Import)  A lot of Car for the Money!  Or call on [hidden information] See less",
Freelander,3500.0,Sliema,Car / engine in good conditions   I also have another freelander and a Maruti off-road for selling. ,Used - Good
2009 MINI cooper hatchback,7000.0,Mosta,"Mini Cooper Hatchback LOCAL - TA' MALTA  🏷€7,000 or finance it from €3,500 + monthly payments  ✅2009 ✅Petrol ✅51,250 miles ✅Manual ✅Excellent Condition ✅Cream ✅Monthly Payments Accepted  #mini #cooper #Hatchback  🙌🏻 BEST AFTERSALES SERVICE🙌🏻  📍Visit us at- Ventur Auto Imports Co. LTD, Triq il-Farkizzan, Mosta, Malta  www.ventur.com.mt +356 79258180/ 99060393 ￼ Opening Hours Mon-Fri 10am - 7pm Saturday 10am - 2pm See less",
1990 Toyota corolla,1600.0,Żebbuġ,"TOYOTA COROLLA TA MALTA  WITH LICENSIE PAID TILL OCTOBER 2023  ((( PRICE 1,600 EURO)) 5 DOOR WITH MANUAL GEARBOX (((( ENGINE 13 PETROL)) ((WITH NO EXTRAS = MEAN WITH NO AIR CONDITION AND WITH NO POWER STERING , ))) YEAR 1990 EVERTHING WORKS PERFECT   MILEAGE=298,019KM  ghall bejgh WITH OLD REGISTRATION LICCENSIE ((((((LICENSIE ONLY 117 EURO FIXED FOREVER ))))))) ((((((LICENSIE ONLY 117 EURO FIXED FOREVER ))))))) REGISTRADE IN MALTA 26-06-1990 WITH TA MALTA IN VERY GOOD CONDITION FOR VIEWING PLS I SEND THE MESSAGE FACEBOOK AND I TAKE ADDRESS ETC CONTACT 79335178,77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER MALTA  See less",
Skoda fabia,2500.0,Ħamrun,Skoda fabia 14 mpi petrol fuel injection full extra ice cold ac very good condition  used as a sunday 14 inch alloy wheels  service ready   no silly offers See less,
